playerId,n_total,n_history,n_future,reputation,history_toxic_rate,future_toxic_rate,future_toxic_rate_binary
!+XDanSpoter+!,14,9,5,0.6933675372032004,0.0,0.0,0
#ERROR!,30,21,9,0.6342570034716535,0.09523809523809523,0.2222222222222222,1
#NAME?,56,39,17,0.4673905724047052,0.3333333333333333,0.4117647058823529,1
#ano.Ainsley Kek,10,7,3,0.656569173980137,0.0,0.3333333333333333,1
#sleepatfour,13,9,4,0.56718189746374,0.0,0.25,1
$\/\//\G,19,13,6,0.6657772693730414,0.07692307692307693,0.3333333333333333,1
((™￠®℉€±©«»°'|·�,17,11,6,0.7364834399392711,0.0,0.0,0
(R),22,15,7,0.6359727129665108,0.26666666666666666,0.2857142857142857,1
(something something) subwoofer,18,12,6,0.643683967338202,0.0,0.5,1
*Kenz-Wars*,11,7,4,0.7082495884848752,0.14285714285714285,0.25,1
--Tánathos--,20,14,6,0.5159570603219005,0.35714285714285715,0.8333333333333334,1
-OniTnas-,17,11,6,0.37005733900391047,0.5454545454545454,0.3333333333333333,1
-xXx-,10,7,3,0.3353457303890932,0.8571428571428571,0.6666666666666666,1
.-BS-. Bonita Applebum [C],12,8,4,0.5306933637792738,0.25,0.0,0
..,11,7,4,0.6460921181183282,0.0,0.25,1
...,28,19,9,0.5669348573544685,0.15789473684210525,0.0,0
.;;.;.,11,7,4,0.49935482083683974,0.42857142857142855,0.25,1
.FagninhO-,12,8,4,0.4087027967742803,0.625,0.25,1
.I.,14,9,5,0.5785235767529276,0.6666666666666666,0.2,1
.M.,13,9,4,0.45631032541659605,0.5555555555555556,1.0,1
.dieBallerinaballern,11,7,4,0.6565760133063855,0.0,0.5,1
.mikeroland,14,9,5,0.7007727820975087,0.0,0.4,1
0.1k mmr player,14,9,5,0.736831868014946,0.0,0.0,0
1.23E+11,14,9,5,0.6281151410504388,0.1111111111111111,0.2,1
1017,19,13,6,0.633399088088735,0.07692307692307693,0.16666666666666666,1
123,14,9,5,0.6029563659460173,0.2222222222222222,0.0,0
17%,26,18,8,0.693337059959869,0.05555555555555555,0.125,1
17% broken hero,12,8,4,0.43972742921249697,0.5,0.75,1
1inchWonder,12,8,4,0.2960582033015326,0.75,0.75,1
2.71828 <3 GoblakDoto,10,7,3,0.6793144709186191,0.14285714285714285,0.0,0
22,13,9,4,0.7144450284565883,0.0,0.25,1
24K,13,9,4,0.6367927679269038,0.2222222222222222,0.25,1
2moreGanas-,11,7,4,0.3628263950805534,0.2857142857142857,0.0,0
3.33E+30,12,8,4,0.627818310073455,0.25,0.0,0
322,20,14,6,0.6141531431423054,0.07142857142857142,0.5,1
4Head,11,7,4,0.6753314044281229,0.14285714285714285,0.0,0
6k Slayer,10,7,3,0.6667701872015145,0.14285714285714285,0.3333333333333333,1
7th of August,13,9,4,0.5034544588649171,0.3333333333333333,0.25,1
980,11,7,4,0.43257877850208326,0.42857142857142855,0.25,1
99 JOKER,14,9,5,0.6352189735799507,0.2222222222222222,0.0,0
:),23,16,7,0.6115575609649437,0.0625,0.14285714285714285,1
:D,18,12,6,0.5045548052513618,0.4166666666666667,0.0,0
< blank >,22,15,7,0.6453405209542923,0.2,0.0,0
<3 MonkeY KinG <3,11,7,4,0.6964898686930259,0.0,0.25,1
"<font face=""Forte"">NooB FroMMO",14,9,5,0.38102387136945093,0.7777777777777778,0.4,1
"<font face=""Magneto"">#NoyPi`eac",10,7,3,0.6821556778688882,0.14285714285714285,0.3333333333333333,1
"<font face=""Segoe Script"">:)",13,9,4,0.6834501762839521,0.2222222222222222,0.0,0
<font face='Forte'>Grey,12,8,4,0.6187653421082944,0.125,0.0,0
"<i> <u> Cuyos, Carl",17,11,6,0.6202465314125607,0.2727272727272727,0.16666666666666666,1
>>{D}-Go{D}<<,18,12,6,0.6446134803297818,0.16666666666666666,0.5,1
???,12,8,4,0.5330382987172932,0.25,0.25,1
